respondent_id,A1_respondent_type,A2_lives_in_dubai,A3_residency_status,A4_age_group,B1_purchase_frequency,B2_monthly_clothing_spend_aed,B3_where_buy,B4_frustrations,B5_price_importance,B5_brand_importance,B5_quality_importance,B5_sustainability_importance,B5_uniqueness_importance,B5_convenience_importance,C1_bought_secondhand,C2_thrift_familiarity,C3_value_for_money,C3_good_for_environment,C3_hygiene_worry,C3_quality_worry,C3_socially_accepted,C3_finds_unique,C4_barriers,D1_concept_interest,D2_visit_likelihood_3mo,D3_categories_buy,D4_choice_drivers,D5_wtp_jeans_aed,D5_wtp_dress_aed,D5_wtp_jacket_aed,D6_max_spend_visit_aed,D7_shop_mode_pref,D8_travel_distance,E1_sell_back,E2_discovery_channel,E3_loyalty_interest,E4_recommend_likelihood,F1_gender,F2_field_industry,F3_area_dubai,F4_disposable_income_band,A4_age_code,B1_freq_code,C1_secondhand_code,D8_distance_code,F4_income_code,B3_buy_fast_fashion_h_m_shein_type,B3_buy_malls_brand_stores,B3_buy_online_marketplaces,B3_buy_outlet_stores,B3_buy_second_hand_thrift,B3_buy_social_media_sellers,B4_frustr_hard_to_find_unique_pieces,B4_frustr_none_stated,B4_frustr_not_sustainable,B4_frustr_poor_fast_fashion_quality,B4_frustr_same_styles_everywhere,B4_frustr_sizing_issues,B4_frustr_too_expensive,C4_barrier_don_t_know_where_to_shop,C4_barrier_hygiene_concerns,C4_barrier_nothing_i_m_open_to_it,C4_barrier_quality_concerns,C4_barrier_sizing_fit,C4_barrier_social_stigma,D3_cat_accessories,D3_cat_athleisure_sportswear,D3_cat_bags,D3_cat_denim_jeans,D3_cat_dresses,D3_cat_formal_office_wear,D3_cat_modest_wear_abayas,D3_cat_outerwear_jackets,D3_cat_shoes,D3_cat_tops_t_shirts,D4_driver_convenient_location,D4_driver_curated_quality,D4_driver_guaranteed_cleanliness_sanitisation,D4_driver_low_prices,D4_driver_loyalty_rewards,D4_driver_online_ordering_delivery,D4_driver_sustainability_mission,D4_driver_trendy_curated_styles,E2_disc_flyers_events,E2_disc_google_maps,E2_disc_influencers,E2_disc_instagram,E2_disc_tiktok,E2_disc_university_campus,E2_disc_word_of_mouth,target_likely_customer,advocacy_score,n_categories_interested
R1682,University student,Yes,Expat - student visa,18-22,2-3 times a month,80.0,"Fast fashion (H&M, Shein-type); Social-media sellers",Too expensive; Not sustainable,5,2,4,2,2,5,Once or twice,3.0,4,2,3,4,5,2,Hygiene concerns; Social stigma; Don't know where to shop,4,3,Tops / T-shirts; Dresses; Denim / jeans; Bags; Accessories; Modest wear / abayas,Low prices; Curated quality; Convenient location; Loyalty rewards; Trendy / curated styles,35.0,60,105,70.0,In-store only,Up to 15 min,"Yes, sell",Instagram; University / campus; Google / Maps,4.0,4,Female,Business,International City,"Under 1,000",1,4,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,3.67,6
R1024,Young working professional,Yes,Expat - long-term resident,23-27,About monthly,720.0,Online marketplaces; Social-media sellers,Poor fast-fashion quality; Sizing issues,2,3,4,2,2,4,Once or twice,2.0,2,3,2,3,3,4,Sizing / fit; Social stigma,4,2,Tops / T-shirts; Denim / jeans; Outerwear / jackets; Shoes,Low prices; Convenient location; Online ordering + delivery,105.0,220,185,330.0,In-store only,Only my neighbourhood,Maybe,University / campus; Influencers,3.0,3,Female,Marketing,International City,"5,001-8,000",2,3,1,1,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3.0,4
R1854,University student,Yes,UAE national,35+,Every few months,420.0,"Malls / brand stores; Fast fashion (H&M, Shein-type); Second-hand / thrift; Outlet stores; Social-media sellers",Too expensive; Same styles everywhere; Sizing issues,2,3,3,2,4,3,"Yes, occasionally",3.0,2,1,4,2,2,3,Quality concerns; Social stigma,3,3,Tops / T-shirts; Dresses; Bags; Accessories; Modest wear / abayas,Low prices; Guaranteed cleanliness / sanitisation; Trendy / curated styles,75.0,90,105,240.0,Both,Up to 15 min,"Yes, donate",Instagram; TikTok; University / campus; Google / Maps; Flyers / events,4.0,4,Male,Business,Marina / JBR,"1,000-2,500",4,2,2,2,2,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,3.33,5
R1099,Other,Yes,Short-term / visitor,35+,2-3 times a month,330.0,"Malls / brand stores; Fast fashion (H&M, Shein-type); Online marketplaces",Too expensive; Not sustainable,1,3,4,3,1,4,"Yes, occasionally",2.0,3,3,3,3,3,3,Hygiene concerns; Quality concerns; Don't know where to shop,3,3,Dresses; Denim / jeans; Formal / office wear; Bags; Athleisure / sportswear,Loyalty rewards; Sustainability mission,100.0,145,125,160.0,In-store only,Across the city,Maybe,Instagram; TikTok; Word of mouth; Flyers / events,3.0,3,Female,Health / Medicine,Other,"1,000-2,500",4,4,2,4,2,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,3.0,5
R1284,Recent graduate,Yes,Expat - student visa,23-27,Every few months,210.0,"Fast fashion (H&M, Shein-type); Online marketplaces; Social-media sellers",Too expensive; Hard to find unique pieces,3,2,3,3,2,3,Once or twice,2.0,4,2,1,2,5,4,Nothing - I'm open to it,4,3,Tops / T-shirts; Dresses; Denim / jeans; Formal / office wear; Shoes; Accessories,Convenient location; Loyalty rewards,60.0,80,80,230.0,In-store only,Up to 30 min,Maybe,Instagram; Word of mouth; University / campus,4.0,4,Female,Business,Other,"1,000-2,500",2,2,1,3,2,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,3.67,6
R1709,Recent graduate,Yes,UAE national,23-27,About monthly,350.0,"Malls / brand stores; Fast fashion (H&M, Shein-type); Social-media sellers",Too expensive; Poor fast-fashion quality; Sizing issues,3,3,4,1,2,3,Never,3.0,2,1,3,4,4,3,Nothing - I'm open to it,2,1,Formal / office wear; Shoes; Accessories,Low prices; Guaranteed cleanliness / sanitisation; Curated quality; Loyalty rewards; Trendy / curated styles,75.0,65,120,220.0,Both,Up to 30 min,Maybe,Instagram; TikTok; Word of mouth; Flyers / events,4.0,3,Male,Marketing,Deira / Bur Dubai,"5,001-8,000",2,3,0,3,4,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,2.0,3
R1907,University student,Yes,Expat - student visa,28-34,About monthly,90.0,"Fast fashion (H&M, Shein-type); Online marketplaces; Outlet stores; Social-media sellers",Too expensive; Poor fast-fashion quality; Hard to find unique pieces,2,2,4,2,2,3,"Yes, occasionally",3.0,3,2,2,2,3,4,Nothing - I'm open to it,3,3,Tops / T-shirts; Formal / office wear; Athleisure / sportswear,Guaranteed cleanliness / sanitisation; Curated quality; Online ordering + delivery; Sustainability mission,60.0,70,140,100.0,Both,Up to 15 min,"Yes, donate",Instagram; Google / Maps; Influencers; Flyers / events,4.0,2,Male,Marketing,Marina / JBR,"Under 1,000",3,3,2,2,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,2.67,3
R1308,University student,Yes,Expat - student visa,23-27,About monthly,550.0,"Fast fashion (H&M, Shein-type); Online marketplaces",Same styles everywhere; Poor fast-fashion quality; Hard to find unique pieces,3,4,5,1,3,3,Never,3.0,4,2,4,4,3,3,Quality concerns,2,2,Dresses; Denim / jeans; Shoes; Bags; Accessories; Athleisure / sportswear,Guaranteed cleanliness / sanitisation; Curated quality; Trendy / curated styles,105.0,125,210,240.0,Both,Up to 30 min,Maybe,Word of mouth; Influencers; Flyers / events,2.0,2,Male,Business,Other,"2,501-5,000",2,3,0,3,3,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,2.0,6
R1770,University student,Yes,Expat - student visa,18-22,Every few months,190.0,Social-media sellers,Same styles everywhere; Not sustainable; Hard to find unique pieces,2,3,3,4,2,4,"Yes, occasionally",3.0,3,3,2,3,3,3,Social stigma,4,3,Tops / T-shirts; Dresses; Denim / jeans; Outerwear / jackets; Bags; Athleisure / sportswear,Low prices; Trendy / curated styles,65.0,80,145,220.0,Both,Up to 15 min,"Yes, donate",Instagram; University / campus; Google / Maps,3.0,3,Male,Unknown,Silicon Oasis,"Under 1,000",1,2,2,2,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,3.33,6
R1435,University student,Yes,UAE national,28-34,About monthly,160.0,"Malls / brand stores; Fast fashion (H&M, Shein-type); Online marketplaces; Second-hand / thrift; Outlet stores",Too expensive; Poor fast-fashion quality,3,2,2,4,2,4,Never,2.0,3,4,2,2,2,3,Quality concerns; Social stigma; Don't know where to shop,4,4,Tops / T-shirts; Dresses; Outerwear / jackets; Shoes; Bags; Accessories,Loyalty rewards; Sustainability mission,80.0,75,150,290.0,Online only,Up to 30 min,No,Instagram; Influencers; Flyers / events,4.0,4,Male,Business,JVC,"1,000-2,500",3,3,0,3,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,4.0,6
